condition,prompt_id,associative_drift,perplexity,local_coherence,lzc_target,spatial_entropy_target,attn_entropy_target,lzc_mean,spatial_entropy_mean,attn_entropy_mean
baseline,p000,0.2968488931655884,3.92170443943575,1.0,1.1151828051449377,0.9501969218254089,,1.0885411309872766,0.9489581026136875,
baseline,p001,0.175156831741333,3.474570939240245,1.0,1.091795966250206,0.9514994323253632,,1.082991160070769,0.9493683986365795,
baseline,p002,0.26913875341415405,3.090235006304927,1.0,1.10058389212156,0.9493398666381836,,1.0818239394149425,0.9478216022253036,
baseline,p003,0.277199387550354,3.6686929106674944,1.0,1.116709898480774,0.9503374993801117,,1.1008141475334998,0.948499895632267,
baseline,p004,0.31769871711730957,4.327128634392748,1.0,1.1188471423056177,0.9502444565296173,,1.0966732376228654,0.9484128914773464,
baseline,p005,0.2909747362136841,3.1097696754040975,1.0,1.110773049621761,0.9484485983848572,,1.0873294463141119,0.9476343244314194,
baseline,p006,0.3048419952392578,4.123863577150159,1.0,1.1231216299553046,0.9503729343414307,,1.1038864355317126,0.9486404769122601,
baseline,p007,0.3751203417778015,4.2296348458850686,1.0,1.122229683050942,0.9504846334457397,,1.0976881695370175,0.9495128244161606,
beta_0.45,p000,0.2930511236190796,2.8469705650940513,1.0,0.8740621986271135,0.9530130326747894,,0.9582929462164873,0.9501712545752525,
beta_0.45,p001,0.1291828155517578,29.546445233269242,0.47998962908740767,1.0571570298910768,0.9463949203491211,,1.0371126199142096,0.9434079341590405,
beta_0.45,p002,0.2933364510536194,2.292611427665618,1.0,1.039395194893593,0.9480481445789337,,1.0430985031889384,0.9471264854073524,
beta_0.45,p003,0.2866644859313965,10.602979069775705,0.9446885666512101,1.0718277781590586,0.9532583355903625,,1.0949367270151797,0.9500668607652187,
beta_0.45,p004,0.2230702042579651,7.28137337771362,1.0,1.100680569794447,0.9535247385501862,,1.1033521245755016,0.9498083256185055,
beta_0.45,p005,0.205269455909729,11.894710066697865,0.8521453828026962,1.0300543296342903,0.9458733201026917,,1.0425021160951278,0.9432866126298904,
beta_0.45,p006,0.41770827770233154,7.746528342651505,1.0,1.0899943506702292,0.9536867141723633,,1.1037528577926596,0.9502830095589161,
beta_0.45,p007,0.07958942651748657,83.83760427520073,0.3198672881155641,1.0266992189849624,0.944557249546051,,1.0376037041539203,0.9421562254428864,
