condition,lzc_target,spatial_entropy_target,attn_entropy_target,lzc_mean,spatial_entropy_mean,attn_entropy_mean,associative_drift,perplexity,local_coherence
baseline,1.112405508366388,0.950115542858839,,1.0924684583765245,0.948606064543128,,0.2883724570274353,3.743200003560061,1.0
beta_0.45,1.0362338338318464,0.9497945569455624,,1.052581449869003,0.9470383385196328,,0.24098403006792068,19.506152794758542,0.8245863583321098
