layer,direction,strength,prompt_id,degree_entropy_interv,degree_entropy_base,achieved_entropy_change,associative_drift,perplexity,local_coherence
0,broaden,0.5,p000,3.1278624937850212,2.7397862659365795,0.38807622784844176,0.19994747638702393,5.441905245977284,1.0
0,broaden,0.5,p001,3.1277850853253524,2.657270491617953,0.47051459370739934,0.2187713384628296,3.5047691014720956,1.0
0,broaden,0.5,p002,2.947694137079877,2.501394285100223,0.44629985197965416,0.23433375358581543,3.38190480377725,1.0
0,broaden,0.5,p003,3.176361883447954,2.794838630095739,0.3815232533522148,0.27068233489990234,4.519305625368382,1.0
0,broaden,0.5,p004,3.158558728417353,2.750898296626692,0.4076604317906609,0.23640179634094238,4.725371067650467,1.0
0,broaden,0.5,p005,2.9501134404202274,2.5051220222799855,0.4449914181402419,0.28966599702835083,3.6036389547586434,1.0
1,broaden,0.5,p000,3.1919896486946464,2.7324445698730964,0.45954507882155005,0.18928682804107666,5.643558265895417,1.0
1,broaden,0.5,p001,3.1426537365068654,2.733847656048057,0.4088060804588083,0.2355285882949829,3.4591419267523826,1.0
1,broaden,0.5,p002,2.9624937480909566,2.5328495039372125,0.429644244153744,0.23188501596450806,4.407054840578824,1.0
1,broaden,0.5,p003,3.1999604195634155,2.7403209714562466,0.45963944810716884,0.2705763578414917,4.972433575488368,1.0
1,broaden,0.5,p004,3.161564781793409,2.641922413280748,0.519642368512661,0.21872270107269287,4.155254287139439,1.0
1,broaden,0.5,p005,2.9224431168920653,2.608260350128319,0.31418276676374646,0.29696786403656006,3.8491775489851188,1.0
2,broaden,0.5,p000,3.179390533442463,2.8415305803251276,0.3378599531173352,0.2007744312286377,6.581700842158334,1.0
2,broaden,0.5,p001,3.1431141752708256,2.802852584886506,0.3402615903843196,0.25556331872940063,3.2657643929457696,1.0
2,broaden,0.5,p002,2.9677554542040436,2.6672609532122746,0.300494500991769,0.24495267868041992,4.728336688543038,1.0
2,broaden,0.5,p003,3.199763020787983,2.9953705209654955,0.2043924998224873,0.22210681438446045,4.871829964711192,1.0
2,broaden,0.5,p004,3.1982022823018577,2.8516834695271003,0.3465188127747574,0.2164609432220459,4.618433794634789,1.0
2,broaden,0.5,p005,2.970267589889674,2.725896013083985,0.2443715768056891,0.306942343711853,3.861287459587708,1.0
3,broaden,0.5,p000,3.129350160297661,2.87050067632251,0.2588494839751512,0.23248350620269775,5.75242983168215,1.0
3,broaden,0.5,p001,3.156474551690734,2.7766936590525524,0.3797808926381818,0.2439061999320984,3.4354765679712496,1.0
3,broaden,0.5,p002,2.986706988464864,2.635159943445138,0.3515470450197262,0.24770855903625488,3.3099478535014577,1.0
3,broaden,0.5,p003,3.1601950045027616,2.8495479533270323,0.3106470511757293,0.26431214809417725,5.01079307080186,1.0
3,broaden,0.5,p004,3.184157575195642,2.7809660759799946,0.40319149921564756,0.21975702047348022,4.026215749336273,1.0
3,broaden,0.5,p005,2.9937319297006697,2.5385891307457933,0.4551427989548764,0.24998968839645386,4.137970597861973,1.0
4,broaden,0.5,p000,3.1454793312452463,2.8041205664110755,0.3413587648341707,0.22102022171020508,4.964189194703026,1.0
4,broaden,0.5,p001,3.1221015517876163,2.7667609845265453,0.355340567261071,0.2610521912574768,3.1963498204209277,1.0
4,broaden,0.5,p002,3.008994987907262,2.5697349204848026,0.4392600674224596,0.27262914180755615,4.006739580959764,1.0
4,broaden,0.5,p003,3.1583923089060884,2.8144143454024566,0.34397796350363175,0.27267467975616455,4.688201118707376,1.0
4,broaden,0.5,p004,3.1306567736976847,2.8205274353642418,0.3101293383334429,0.2359023094177246,5.346964039928283,1.0
4,broaden,0.5,p005,2.9567128933411913,2.7359731015321302,0.220739791809061,0.2766071557998657,4.40619490709575,1.0
5,broaden,0.5,p000,3.138539792674543,2.9084070424711848,0.23013275020335833,0.21237331628799438,6.2297594226243564,1.0
5,broaden,0.5,p001,3.13176728537397,2.800955341060443,0.3308119443135271,0.29216086864471436,2.6480101400412748,1.0
5,broaden,0.5,p002,2.982742341686371,2.7544736487469863,0.2282686929393849,0.2277764081954956,4.186279057911491,1.0
5,broaden,0.5,p003,3.1462683850115796,2.915114046350025,0.23115433866155444,0.23223233222961426,4.603028443522499,1.0
5,broaden,0.5,p004,3.156769359021754,2.935203638713055,0.22156572030869892,0.2825016975402832,6.124852557376805,1.0
5,broaden,0.5,p005,2.908778294941334,2.7082447714198397,0.20053352352149423,0.2410925030708313,4.181010980478557,1.0
6,broaden,0.5,p000,3.1370875473698883,2.7759016440860753,0.36118590328381295,0.22804903984069824,5.722659480223537,1.0
6,broaden,0.5,p001,3.088191810838929,2.816211060782438,0.2719807500564908,0.2681078314781189,3.2491745951000417,1.0
6,broaden,0.5,p002,2.966295252415654,2.69689698347119,0.26939826894446384,0.3497655391693115,2.5866468497519617,1.0
6,broaden,0.5,p003,3.142100760978277,2.849312882696336,0.2927878782819411,0.25402045249938965,5.341529078196137,1.0
6,broaden,0.5,p004,3.1397026910469186,2.803241507009404,0.33646118403751446,0.20826953649520874,3.668161141003731,1.0
6,broaden,0.5,p005,2.839428193038295,2.7165837188968966,0.12284447414139832,0.25048309564590454,3.474116590306009,1.0
7,broaden,0.5,p000,3.086575549010303,2.9725694618704157,0.11400608713988714,0.24298644065856934,5.154631740457524,1.0
7,broaden,0.5,p001,3.096128311202073,2.8333458233008444,0.2627824879012288,0.22531497478485107,4.657707230244138,1.0
7,broaden,0.5,p002,2.92107748765641,2.7870982644274833,0.13397922322892653,0.21585357189178467,4.005854133178348,1.0
7,broaden,0.5,p003,3.1276449941950952,2.9478995082293054,0.17974548596578988,0.2565463185310364,4.824307918036431,1.0
7,broaden,0.5,p004,3.1285165278062514,2.9517496664993286,0.17676686130692287,0.24019312858581543,4.694840805239868,1.0
7,broaden,0.5,p005,2.9497121853605797,2.767845968525994,0.1818662168345857,0.2643829584121704,3.2198008520681602,1.0
8,broaden,0.5,p000,3.0509655168328984,2.778727645034259,0.27223787179863956,0.24049854278564453,6.192272537498089,1.0
8,broaden,0.5,p001,3.0815375887480108,2.7464883253690955,0.3350492633789153,0.29997503757476807,3.0650098648334523,1.0
8,broaden,0.5,p002,2.90043815409756,2.7684339197317795,0.13200423436578035,0.22782647609710693,4.5801979819568075,1.0
8,broaden,0.5,p003,3.154644754119066,2.903349058919755,0.2512956951993113,0.2359687089920044,5.365792355816972,1.0
8,broaden,0.5,p004,3.0586502776384554,2.841911918093554,0.21673835954490128,0.22971618175506592,5.09527632139511,1.0
8,broaden,0.5,p005,2.945327894609428,2.8179429378797693,0.12738495672965877,0.24790573120117188,4.053285988656364,1.0
9,broaden,0.5,p000,3.123348077223974,2.8407334534071884,0.2826146238167855,0.3076364994049072,5.0017313689328455,1.0
9,broaden,0.5,p001,3.0441235149153143,2.7356308496758572,0.30849266523945706,0.23292559385299683,3.2194784508658425,1.0
9,broaden,0.5,p002,2.933117891472984,2.6429163985807085,0.2902014928922756,0.2580585479736328,3.504528038565818,1.0
9,broaden,0.5,p003,3.1409390925472307,2.897026584290875,0.24391250825635558,0.2839885950088501,4.817526481405174,1.0
9,broaden,0.5,p004,3.1044612604927684,2.809551905636954,0.2949093548558146,0.26345592737197876,5.457521677517818,1.0
9,broaden,0.5,p005,2.857458603328625,2.6321270279028797,0.22533157542574545,0.29476219415664673,3.409523797748797,1.0
10,broaden,0.5,p000,3.1111423247012375,2.930301767380276,0.18084055732096171,0.25785934925079346,5.70028371031849,1.0
10,broaden,0.5,p001,3.1229333153217773,2.8004988267811832,0.3224344885405941,0.1872066855430603,4.450475737521699,1.0
10,broaden,0.5,p002,2.9498042017594486,2.7248856817429767,0.22491852001647183,0.22400051355361938,3.7501521677897873,1.0
10,broaden,0.5,p003,3.165501718871598,2.8970014337387875,0.26850028513281066,0.23172056674957275,5.521139054281373,1.0
10,broaden,0.5,p004,3.1117330756395125,2.9023336118868013,0.20939946375271123,0.25081926584243774,4.947106816335005,1.0
10,broaden,0.5,p005,2.9587200059560046,2.6684774324514344,0.29024257350457017,0.25700753927230835,3.694978621672902,1.0
11,broaden,0.5,p000,3.167011276304963,2.9385398155540314,0.2284714607509315,0.27608901262283325,4.211693821320332,1.0
11,broaden,0.5,p001,3.110119150465137,2.8820784756872513,0.2280406747778856,0.18445897102355957,4.566052751986349,1.0
11,broaden,0.5,p002,2.9249898759498505,2.6186907293553383,0.3062991465945122,0.253853440284729,3.4121581844888733,1.0
11,broaden,0.5,p003,3.1797804813217474,2.890343058764636,0.28943742255711147,0.25901222229003906,4.677475142180478,1.0
11,broaden,0.5,p004,3.198467258100564,2.9696642482837055,0.22880300981685853,0.26137685775756836,5.325723930235696,1.0
11,broaden,0.5,p005,2.956739561314081,2.7171542691226604,0.23958529219142077,0.2676403522491455,3.5403272445919978,1.0
