direction,layer,achieved_entropy_change,associative_drift,perplexity,local_coherence,n,drift_shift_vs_base,ppl_shift_vs_base
broaden,0,0.42317762946976883,0.24163378278414407,4.196149133167354,1.0,6,-0.010532766580581693,0.1027068607135515
broaden,1,0.4319099978029464,0.24049455920855203,4.414436740806591,1.0,6,-0.011671990156173734,0.3209944683527892
broaden,2,0.2956498223160596,0.2411334216594696,4.654558857096805,1.0,6,-0.011033127705256163,0.5611165846430026
broaden,3,0.35985979516321875,0.24302618702252707,4.27880561185916,1.0,6,-0.009140362342198699,0.18536333940535776
broaden,4,0.33513441552730616,0.25664761662483215,4.434773110302522,1.0,6,0.004481067260106386,0.3413308378487194
broaden,5,0.240411161658003,0.24802285432815552,4.662156766992497,1.0,6,-0.00414369503657025,0.5687144945386944
broaden,6,0.2757764097909369,0.2597825825214386,4.00704795576357,1.0,6,0.007616033156712831,-0.08639431669023256
broaden,7,0.17485772706289016,0.24087956547737122,4.426190446537412,1.0,6,-0.011286983887354551,0.33274817408360935
broaden,8,0.22245173016953443,0.2469817797342936,4.725305841692799,1.0,6,-0.005184769630432157,0.6318635692389964
broaden,9,0.2742437034144056,0.2734712262948354,4.235051635839382,1.0,6,0.021304676930109623,0.14160936338558017
broaden,10,0.24938931471135328,0.23476898670196533,4.6773560179865425,1.0,6,-0.017397562662760435,0.5839137455327403
broaden,11,0.2534395011147867,0.2504051427046458,4.2889051791339545,1.0,6,-0.001761406660079956,0.19546290668015232
broaden,12,0.2485608627036934,0.2542893588542938,4.454117306493839,1.0,6,0.002122809489568056,0.3606750340400371
broaden,13,0.3198961451743772,0.25572582085927326,4.698451349159438,1.0,6,0.003559271494547489,0.6050090767056355
broaden,14,0.2037202974405871,0.2512761453787486,4.414707312627091,1.0,6,-0.0008904039859771729,0.32126504017328905
broaden,15,0.26507597238781777,0.2375605603059133,4.416572225940824,1.0,6,-0.014605989058812469,0.32312995348702156
regularize,0,-0.5020958816394079,0.7149611748754978,3.5639729072714452,1.0,2,0.46279462551077205,-0.529469365182357
regularize,1,-1.3848449487069459,1.1031488912800949,,,0,0.850982341915369,
regularize,2,-0.4322518979613628,1.1031488912800949,,,0,0.850982341915369,
regularize,3,-0.3022306248337954,1.1031488912800949,,,0,0.850982341915369,
regularize,4,-0.7938856162556206,1.1031488912800949,,,0,0.850982341915369,
regularize,5,-1.5524450374433083,1.1031488912800949,,,0,0.850982341915369,
regularize,6,-1.5200356398014774,1.1031488912800949,,,0,0.850982341915369,
regularize,7,-0.9802211987191081,0.39850187798341113,4.23765764953634,1.0,5,0.14633532861868537,0.14421537708253762
regularize,8,-1.2128808081678033,1.1031488912800949,,,0,0.850982341915369,
regularize,9,-1.7050484694393633,0.9800600868960222,2.686853739157502,1.0,1,0.7278935375312965,-1.4065885332963002
regularize,10,-1.4803409733647168,1.1031488912800949,,,0,0.850982341915369,
regularize,11,-0.8211113319740865,1.1031488912800949,,,0,0.850982341915369,
regularize,12,-1.1836891890612298,0.2660149534543355,4.207332734633689,1.0,6,0.013848404089609745,0.11389046217988685
regularize,13,-1.335583533231551,1.1031488912800949,,,0,0.850982341915369,
regularize,14,-0.6145249862230334,0.25944764415423077,4.1628678231399805,1.0,6,0.007281094789505005,0.06942555068617828
regularize,15,-2.8240334123006305,0.24813343087832132,4.151843216943157,1.0,6,-0.004033118486404447,0.058400944489354956
