condition,degree_entropy,clustering,global_efficiency,associative_drift,perplexity,local_coherence
baseline,2.9216718737855096,0.7215726369986458,0.5799952111873352,0.2883724570274353,3.743200003560061,1.0
beta_0.45,2.4099099939297286,0.6639573499632448,0.5724579437760372,0.24098403006792068,19.506152794758542,0.8245863583321098
