condition,associative_drift,associative_drift_sd,local_coherence,perplexity,degenerate,realized_output_shift,n
baseline,0.3023937866091728,0.05222011067175145,1.0,3.6300575151555616,0.0,0.0,8
beta_0.45,0.20633811503648758,0.06900818081509562,0.7931441264770963,17.3048420116536,0.0,0.0,8
interventionB_vscale,0.22905956208705902,0.031457015973616144,0.977675597062524,7.215008618013195,0.0,1.5000001179033366,8
