prompt_id,layer,flattened,output_rel_l2_shift,output_cosine_shift,entropy_baseline,entropy_intervened,entropy_shift,mean_maxprob_baseline,mean_maxprob_intervened
p000,0,True,0.7172450608402579,0.27670782804489136,0.3269171714782715,0.6447926163673401,0.3178754448890686,0.6966793537139893,0.3320345878601074
p000,1,True,1.4035200495785993,0.509452223777771,0.19548869132995605,0.6058865785598755,0.41039788722991943,0.8345632553100586,0.3874628245830536
p000,2,True,2.187776828621039,0.6467944979667664,0.18426558375358582,0.5924506187438965,0.40818503499031067,0.8541752696037292,0.40726804733276367
p000,3,True,1.789099116040817,0.6350412666797638,0.28213298320770264,0.6368224024772644,0.35468941926956177,0.7524237036705017,0.32028838992118835
p000,4,True,1.7444114227313459,0.7167821228504181,0.28892260789871216,0.6065171957015991,0.31759458780288696,0.7378788590431213,0.38465896248817444
p000,5,True,1.3623146189267548,0.7138867676258087,0.32172155380249023,0.5991877317428589,0.27746617794036865,0.7026324272155762,0.3790307641029358
p000,6,True,1.325639086504112,0.7145505845546722,0.3886697590351105,0.6067391037940979,0.21806934475898743,0.6218386888504028,0.37231504917144775
p000,7,True,1.2413219034713476,0.6666218042373657,0.3772929608821869,0.6105061769485474,0.23321321606636047,0.6634145975112915,0.407101571559906
p000,8,True,1.3021828573207794,0.693446546792984,0.37252485752105713,0.5633763670921326,0.19085150957107544,0.6552039980888367,0.44302794337272644
p000,9,True,1.2721762987520566,0.6847591996192932,0.3854873478412628,0.6041277050971985,0.21864035725593567,0.6269410848617554,0.3699173629283905
p000,10,True,1.4180736019999214,0.6523092687129974,0.32186996936798096,0.5395373702049255,0.21766740083694458,0.705617368221283,0.45703214406967163
p000,11,True,1.4263535499458393,0.6462662518024445,0.26671144366264343,0.5163152813911438,0.24960383772850037,0.7688037157058716,0.49826979637145996
p000,12,True,1.4287188374473776,0.6175422370433807,0.2682715058326721,0.5032289624214172,0.23495745658874512,0.7599055171012878,0.502085268497467
p000,13,True,1.4204366405870648,0.6707257330417633,0.2364206612110138,0.43497487902641296,0.19855421781539917,0.791214108467102,0.5778816342353821
p000,14,True,1.449384574823549,0.5296899378299713,0.25713932514190674,0.47977370023727417,0.22263437509536743,0.7690690159797668,0.5399625897407532
p000,15,True,1.1327512289764246,0.4853704571723938,0.250558465719223,0.545135498046875,0.294577032327652,0.7622990012168884,0.45569175481796265
p001,0,True,0.7185335233539293,0.27447938919067383,0.3082704246044159,0.6290438175201416,0.3207733929157257,0.7255964875221252,0.3665498197078705
p001,1,True,1.2224824853416252,0.42503517866134644,0.19684994220733643,0.5897258520126343,0.39287590980529785,0.8346496224403381,0.41574451327323914
p001,2,True,2.173394908527868,0.6557038724422455,0.1565730720758438,0.5710605978965759,0.4144875258207321,0.8808276057243347,0.4442000687122345
p001,3,True,1.6913821608712072,0.6506887972354889,0.26441141963005066,0.6274055242538452,0.36299410462379456,0.7752898335456848,0.34793445467948914
p001,4,True,1.540471771417748,0.6938515305519104,0.28068864345550537,0.5846940279006958,0.30400538444519043,0.7497398853302002,0.427902489900589
p001,5,True,1.3769883418257558,0.7247295081615448,0.2689392864704132,0.5880369544029236,0.3190976679325104,0.7642956972122192,0.40429970622062683
p001,6,True,1.3556356310166127,0.6723950207233429,0.3582359552383423,0.5833753943443298,0.22513943910598755,0.6632733941078186,0.40528208017349243
p001,7,True,1.2472863424460674,0.6172818243503571,0.3306257128715515,0.6107720732688904,0.28014636039733887,0.7131702303886414,0.3944990932941437
p001,8,True,1.2734505407604613,0.6208819448947906,0.31951767206192017,0.571682870388031,0.25216519832611084,0.7120837569236755,0.43164288997650146
p001,9,True,1.269886853730044,0.6394215524196625,0.3176073729991913,0.5876942873001099,0.2700869143009186,0.6953768134117126,0.3879033029079437
p001,10,True,1.4252542636558172,0.6325444281101227,0.25351467728614807,0.5253133177757263,0.27179864048957825,0.770236611366272,0.48907527327537537
p001,11,True,1.281996716118147,0.5692547261714935,0.22541400790214539,0.5090907216072083,0.28367671370506287,0.800139307975769,0.5190836787223816
p001,12,True,1.3522895659071155,0.619408369064331,0.2048031985759735,0.46148020029067993,0.2566770017147064,0.8127285242080688,0.5642387866973877
p001,13,True,1.3600035579519596,0.6241253614425659,0.1780667006969452,0.42097413539886475,0.24290743470191956,0.8428323268890381,0.6087266802787781
p001,14,True,1.3912205090019094,0.5092307925224304,0.1729612797498703,0.4465540051460266,0.2735927253961563,0.835088312625885,0.591464638710022
p001,15,True,1.0879222704163858,0.465270459651947,0.1864214688539505,0.5100265145301819,0.3236050456762314,0.8241668343544006,0.5043518543243408
p002,0,True,0.6964777906963449,0.22635775804519653,0.26351064443588257,0.5557336807250977,0.2922230362892151,0.8089408874511719,0.532924234867096
p002,1,True,1.3898272202238984,0.36102432012557983,0.19767136871814728,0.5249361395835876,0.32726477086544037,0.8730829358100891,0.5730612277984619
p002,2,True,1.797135278042797,0.5253251492977142,0.1677321046590805,0.5260729789733887,0.35834087431430817,0.902675211429596,0.5817968845367432
p002,3,True,1.4473274268826213,0.5181138217449188,0.24750526249408722,0.5690886378288269,0.3215833753347397,0.8423343300819397,0.5110109448432922
p002,4,True,1.3066821054237077,0.5467247366905212,0.2524086534976959,0.5437139272689819,0.291305273771286,0.8338987827301025,0.5490286350250244
p002,5,True,1.1291574275610072,0.5437245965003967,0.2527913749217987,0.530044436454773,0.27725306153297424,0.8339555859565735,0.5541937351226807
p002,6,True,1.1011692436940201,0.4504338502883911,0.32749053835868835,0.5372112393379211,0.2097207009792328,0.7710058689117432,0.550441324710846
p002,7,True,0.833976998292741,0.3223552107810974,0.2868061661720276,0.5278099775314331,0.24100381135940552,0.8180855512619019,0.5871556401252747
