condition,associative_drift,local_coherence,perplexity,degenerate,realized_entropy_increase,realized_output_shift,n
baseline,0.3023937866091728,1.0,3.6300575151555616,0.0,0.0,0.0,8
beta_0.45,0.20633811503648758,0.7931441264770963,17.3048420116536,0.0,0.0,0.0,8
interventionA,0.29722510278224945,1.0,4.3484020528422755,0.0,0.5362527158040532,0.5891807689802935,8
