prompt_id,layer,flattened,output_rel_l2_shift,output_cosine_shift,entropy_baseline,entropy_intervened,entropy_shift,mean_maxprob_baseline,mean_maxprob_intervened
p000,0,False,0.0,5.960464477539063e-08,0.3269171714782715,0.3269171714782715,0.0,0.6966793537139893,0.6966793537139893
p000,1,False,0.0,2.384185791015625e-07,0.19548869132995605,0.19548869132995605,0.0,0.8345632553100586,0.8345632553100586
p000,2,True,1.6920361095728933,0.46938061714172363,0.18426558375358582,0.5697946548461914,0.3855290710926056,0.8541752696037292,0.4630480706691742
p000,3,True,1.4947712937276643,0.5143712759017944,0.28213298320770264,0.6233095526695251,0.3411765694618225,0.7524237036705017,0.35299262404441833
p000,4,False,0.9496699435620736,0.4462752938270569,0.28892260789871216,0.18989242613315582,-0.09903018176555634,0.7378788590431213,0.8226087689399719
p000,5,False,0.8565373901566269,0.3763948678970337,0.32172155380249023,0.24323098361492157,-0.07849057018756866,0.7026324272155762,0.7851650714874268
p000,6,False,0.8611019458172499,0.379524290561676,0.3886697590351105,0.3293740749359131,-0.05929568409919739,0.6218386888504028,0.6935608983039856
p000,7,False,0.801103867409479,0.3101869821548462,0.3772929608821869,0.35764279961586,-0.019650161266326904,0.6634145975112915,0.6950982213020325
p000,8,False,0.8007294327403723,0.3348315358161926,0.37252485752105713,0.31367096304893494,-0.05885389447212219,0.6552039980888367,0.7284484505653381
p000,9,False,0.8504462872275733,0.3266839385032654,0.3854873478412628,0.37077632546424866,-0.01471102237701416,0.6269410848617554,0.6407538652420044
p000,10,False,0.7669340511855984,0.2914060950279236,0.32186996936798096,0.27492016553878784,-0.046949803829193115,0.705617368221283,0.759089469909668
p000,11,False,0.7371872646733943,0.2357746958732605,0.26671144366264343,0.25312182307243347,-0.013589620590209961,0.7688037157058716,0.7793363928794861
p000,12,False,0.6841400205259761,0.220292329788208,0.2682715058326721,0.2698166072368622,0.0015451014041900635,0.7599055171012878,0.7575218081474304
p000,13,False,0.7119365638334991,0.23325121402740479,0.2364206612110138,0.2540198862552643,0.01759922504425049,0.791214108467102,0.7740197777748108
p000,14,False,0.6781385352522209,0.19896292686462402,0.25713932514190674,0.27130764722824097,0.014168322086334229,0.7690690159797668,0.7545193433761597
p000,15,False,0.5164398597674654,0.137467622756958,0.250558465719223,0.25814127922058105,0.007582813501358032,0.7622990012168884,0.7585762143135071
p001,0,False,0.0,1.1920928955078125e-07,0.3082704246044159,0.3082704246044159,0.0,0.7255964875221252,0.7255964875221252
p001,1,False,0.0,1.7881393432617188e-07,0.19684994220733643,0.19684994220733643,0.0,0.8346496224403381,0.8346496224403381
p001,2,True,1.7802114994511924,0.47288715839385986,0.1565730720758438,0.537501871585846,0.38092879951000214,0.8808276057243347,0.5095645189285278
p001,3,True,1.226802518856624,0.4525543451309204,0.26441141963005066,0.5773207545280457,0.312909334897995,0.7752898335456848,0.4298338294029236
p001,4,False,0.8200381979420925,0.3354265093803406,0.28068864345550537,0.20408278703689575,-0.07660585641860962,0.7497398853302002,0.8092571496963501
p001,5,False,0.643788133777119,0.20676583051681519,0.2689392864704132,0.21668820083141327,-0.05225108563899994,0.7642956972122192,0.8165308833122253
p001,6,False,0.7183643556319229,0.2504882216453552,0.3582359552383423,0.3209157884120941,-0.03732016682624817,0.6632733941078186,0.705266535282135
p001,7,False,0.613571740434463,0.18538331985473633,0.3306257128715515,0.3145131766796112,-0.016112536191940308,0.7131702303886414,0.7375056147575378
p001,8,False,0.5667038214344705,0.15229099988937378,0.31951767206192017,0.3148331046104431,-0.004684567451477051,0.7120837569236755,0.7134902477264404
p001,9,False,0.6040873205780811,0.175961434841156,0.3176073729991913,0.3239431083202362,0.006335735321044922,0.6953768134117126,0.6821886897087097
p001,10,False,0.5467422949604259,0.14677917957305908,0.25351467728614807,0.2508062422275543,-0.00270843505859375,0.770236611366272,0.77134108543396
p001,11,False,0.5437794930236794,0.13269567489624023,0.22541400790214539,0.22931233048439026,0.003898322582244873,0.800139307975769,0.7933771014213562
p001,12,False,0.4971779814846795,0.11256027221679688,0.2048031985759735,0.22432950139045715,0.019526302814483643,0.8127285242080688,0.79583740234375
