condition,drift,coherence,perplexity,n
cool_early,0.31679124633471173,0.7114128422882174,22.333355598572766,6
cool_exp,0.2998136281967163,0.7114128422882174,22.072210687941705,6
cool_late,0.3037019670009613,0.8756999344689342,10.848037530482747,6
cool_linear,0.255786269903183,0.928712591830331,6.784859685718781,6
static_0.45,0.28003260493278503,0.8893800894028939,10.62717161885031,6
static_0.55,0.23925106724103293,1.0,4.933840401225894,6
static_0.65,0.24230318268140158,1.0,4.259925214966011,6
static_0.75,0.27252110838890076,1.0,3.8768370351515347,6
static_0.85,0.262618084748586,1.0,4.059578256347149,6
static_1,0.26051973303159076,1.0,4.2802590994052405,6
warm_linear,0.25856414437294006,1.0,4.7060090601648845,6
