condition,prompt_id,associative_drift,perplexity,local_coherence
static_0.45,p000,0.3206827640533447,5.159335271492591,1.0
static_0.45,p001,0.1764383316040039,29.02402711556813,0.4841351536146668
static_0.45,p002,0.2933364510536194,2.292611427665618,1.0
static_0.45,p003,0.38245582580566406,5.792517516652947,1.0
static_0.45,p004,0.3020128011703491,9.599828315024714,1.0
static_0.45,p005,0.205269455909729,11.894710066697865,0.8521453828026962
static_0.55,p000,0.19188112020492554,7.793939117999415,1.0
static_0.55,p001,0.27916115522384644,3.12407308282623,1.0
static_0.55,p002,0.23227083683013916,3.67837837227412,1.0
static_0.55,p003,0.2308385968208313,5.126265187152253,1.0
static_0.55,p004,0.25004124641418457,5.894047523939096,1.0
static_0.55,p005,0.2513134479522705,3.986339123164251,1.0
static_0.65,p000,0.17966479063034058,4.846057710214521,1.0
static_0.65,p001,0.1819416880607605,3.727842894401771,1.0
static_0.65,p002,0.29187703132629395,3.7131035806336983,1.0
static_0.65,p003,0.2330743670463562,5.022755182816365,1.0
static_0.65,p004,0.29994118213653564,4.779081262063894,1.0
static_0.65,p005,0.26732003688812256,3.4707106596658166,1.0
static_0.75,p000,0.2938752770423889,3.7365836805645993,1.0
static_0.75,p001,0.25382113456726074,3.6552566176833636,1.0
static_0.75,p002,0.289711594581604,3.5542531797690446,1.0
static_0.75,p003,0.237762451171875,4.742974482550617,1.0
static_0.75,p004,0.2973695397377014,4.461382618392774,1.0
static_0.75,p005,0.26258665323257446,3.11057163194881,1.0
static_0.85,p000,0.2774094343185425,5.034291529435854,1.0
static_0.85,p001,0.26149988174438477,3.650982325271312,1.0
static_0.85,p002,0.2378993034362793,3.493355437133496,1.0
static_0.85,p003,0.25144946575164795,4.259575538909693,1.0
static_0.85,p004,0.28154468536376953,4.707670798281877,1.0
static_0.85,p005,0.2659057378768921,3.2115939090506624,1.0
static_1,p000,0.28566527366638184,4.6633685837646,1.0
static_1,p001,0.22064298391342163,4.9986622050801595,1.0
static_1,p002,0.23272550106048584,3.45517769137988,1.0
static_1,p003,0.25370562076568604,4.206829536545725,1.0
static_1,p004,0.29792964458465576,5.076827098617785,1.0
static_1,p005,0.2724493741989136,3.2806894810432943,1.0
cool_linear,p000,0.34552645683288574,3.5182540198756063,1.0
cool_linear,p001,0.17781996726989746,12.332561395403701,0.8266799790073309
cool_linear,p002,0.24948692321777344,2.5563393176044396,1.0
cool_linear,p003,0.36774134635925293,3.1566262886289183,1.0
cool_linear,p004,0.22292065620422363,5.07889550517924,1.0
cool_linear,p005,0.1712222695350647,14.066481587620782,0.7455955719746545
cool_exp,p000,0.42502444982528687,39.15882860176455,0.4228256845764347
cool_exp,p001,0.12787550687789917,4.48522886468766,1.0
cool_exp,p002,0.19214218854904175,2.977361873368835,1.0
cool_exp,p003,0.4323984980583191,39.15882860176455,0.4228256845764347
cool_exp,p004,0.43017542362213135,39.15882860176455,0.4228256845764347
cool_exp,p005,0.19126570224761963,7.494187584300086,1.0
cool_late,p000,0.22229784727096558,8.58250163766643,1.0
cool_late,p001,0.1764383316040039,29.02402711556813,0.4841351536146668
cool_late,p002,0.24853003025054932,2.6239250666644303,1.0
cool_late,p003,0.5183827877044678,5.02989566548117,1.0
cool_late,p004,0.4565194845199585,6.348272179880208,1.0
cool_late,p005,0.20004332065582275,13.47960351763611,0.7700644531989391
cool_early,p000,0.42502444982528687,39.15882860176455,0.4228256845764347
cool_early,p001,0.22202003002166748,9.883430807928505,1.0
cool_early,p002,0.19214218854904175,2.977361873368835,1.0
cool_early,p003,0.4323984980583191,39.15882860176455,0.4228256845764347
cool_early,p004,0.43017542362213135,39.15882860176455,0.4228256845764347
cool_early,p005,0.19898688793182373,3.662855104845604,1.0
warm_linear,p000,0.2943655848503113,5.770636947991308,1.0
warm_linear,p001,0.2399759292602539,4.0100988016153885,1.0
warm_linear,p002,0.2319127321243286,3.8341166370757938,1.0
warm_linear,p003,0.2458094358444214,5.494462220363753,1.0
warm_linear,p004,0.283375084400177,5.613182907463686,1.0
warm_linear,p005,0.2559460997581482,3.5135568464793776,1.0
