beta_ratio,layers,local_coherence,local_coherence_sd,associative_drift,associative_drift_sd,self_diversity,global_coherence,attention_entropy,perplexity,degenerate,n
0.1,"3,11,2,1,7",0.7234296303930771,0.3643183880798751,0.34648645917574566,0.169355837719701,0.4435721385943935,0.99651371439298,0.31595455467080075,181.84787967669567,0.0,18
0.16,"3,11,2,1,7",0.5439265387337964,0.3706749468616127,0.45590066868397927,0.2694724736567392,0.6703203428904223,0.8653107030051095,0.291357589730372,307.37788147282146,0.0,17
0.22,"3,11,2,1,7",0.3259857179807001,0.16113474053236373,0.6322397618658013,0.35033913609577455,0.9861111111111112,,0.27937808932943475,174.39943207986505,0.0,15
0.28,"3,11,2,1,7",0.57030416728163,0.261782497455465,0.48677760486801464,0.39688327922403815,0.9158249158249158,,0.27757052880608374,119.3650193596927,0.05555555555555555,17
0.35,"3,11,2,1,7",0.3556180583013434,0.1597720506685003,0.3529034716904991,0.38168213035519405,0.8128330084470435,,0.28403182741668487,423.0407608751095,0.16666666666666666,15
0.42,"3,11,2,1,7",0.43044770015288797,0.20146448228543912,0.28171153449349934,0.28500516548765514,0.9229166666666667,,0.2895878891771038,65.5992390358969,0.05555555555555555,16
0.5,"3,11,2,1,7",0.6725567152148854,0.3127085623207602,0.20313091741667855,0.11145686435531807,0.6031562168958587,0.9793502603258405,0.3093032206201719,54.696421178492905,0.0,18
0.6,"3,11,2,1,7",1.0,0.0,0.225649141603046,0.07645039822056986,0.6027630103181436,0.8315802996593809,0.303598678463863,4.374396611466341,0.0,18
0.7,"3,11,2,1,7",1.0,0.0,0.26650527450773454,0.052238207058246125,0.7006270686724011,0.7800383101458902,0.2955521972746485,3.807878080505814,0.0,18
0.8,"3,11,2,1,7",1.0,0.0,0.2724938326411777,0.05087734011627152,0.6870682551580414,0.7885466726289855,0.29724025208916927,3.655759038526751,0.0,18
0.9,"3,11,2,1,7",1.0,0.0,0.2806198100248973,0.05392433524173567,0.6928553568872842,0.7966572512788748,0.29636445170682335,3.676700955478452,0.0,18
1.0,"3,11,2,1,7",1.0,0.0,0.2872077524662018,0.06067775809973921,0.7033203187146339,0.7825688409742224,0.29416777804079985,3.5491731520145375,0.0,18
